RANK by cap,SYMBOL,MARKET CAP,PRICE,CHANGE 1D,TRADING VOLUME,NAME,BW logo URL,White on Black,Theme color,Theme Image
472,WEN,3.49B,17.17,1.18%,"4,105,662",Wendy's,https://www.chutegerdeman.com/wp-content/uploads/2017/03/Wendys_logo_300_bw.png,,,silicon
283,EXEL,7.75B,27.17,2.45%,"4,087,493",Exelixis,https://ir.exelixis.com/static-files/854e1b52-c35f-4d9d-8065-15d3263f8fab,,,silicon
331,CFLT,6.43B,19.92,4.90%,"4,086,676",Confluent,https://www.datanami.com/wp-content/uploads/2024/02/Confluent-300x300.png,,,silicon
199,MBLY,12.81B,15.89,5.93%,"4,069,389",Mobileye Global,https://capedge.com/proxy/S-1/0001104659-22-104640/lg_mobileyetmfrnt-4c.jpg,,,silicon
269,ROKU,8.05B,55.61,5.24%,"4,026,885",Roku,https://www.i3investor.com/pubus/stock/company/icon/2150/roku.png,TRUE,,silicon
298,DBX,7.18B,21.73,0.23%,"3,964,447",Dropbox,https://cdn-icons-png.flaticon.com/256/1216/1216894.png,,,silicon
391,XRAY,4.93B,24.34,3.00%,"3,903,643",DENTSPLY SIRONA,https://companieslogo.com/img/orig/XRAY.D-b0c4984e.png?t=1720244494,TRUE,,silicon
13,AZN,249.09B,81.85,1.53%,"3,898,664",AstraZeneca ,https://companieslogo.com/img/orig/AZN.D-c70a049f.png?t=1720244490,,,silicon
277,CZR,7.81B,36.08,3.14%,"3,793,217",Caesars Entertainment,https://investor.caesars.com/sites/g/files/knoqqb81016/themes/site/nir_pid933/dist/images/1528848252454.png,TRUE,,silicon
329,GTLB,6.49B,40.84,-5.44%,"3,789,203",GitLab,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnNMlCD2KO_Rkvj2KHb0miCPBqsxCoNqYPtg&s,,,silicon
471,NFE,3.49B,17.02,2.04%,"3,704,418",New Fortress Energy,https://companieslogo.com/img/orig/NFE.D-e621432e.png?t=1720244493,TRUE,,silicon
447,STNE,3.93B,12.71,4.35%,"3,663,389",StoneCo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRywmDDu7lpJ6jYkPJGSSHQmNmpErlu4vURnQ&s,,,silicon
172,GEN,15.23B,24.74,1.98%,"3,652,853",Gen Digital,https://cxotoday.com/wp-content/uploads/2023/10/Gen.png,,,silicon
346,VKTX,6.18B,55.77,9.65%,"3,629,665",Viking Therapeutics,https://www.marketbeat.com/logos/viking-therapeutics-inc-logo.png?v=20240306130605,,,silicon
152,FWONK,17.24B,73.35,-5.12%,"3,589,075",Formula One,https://selectionrs.com/img/m/175-medium_default.jpg,TRUE,,silicon
96,MRNA,32.41B,84.32,3.40%,"3,503,961",Moderna,https://i0.wp.com/www.phdata.io/wp-content/uploads/2023/10/moderna-logo-white.png,,,silicon
196,SRPT,13.01B,136.4,-2.61%,"3,449,112",Sarepta Therapeutics,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTxxABnX97Ci7hbtYp4SthSa01-6QiLg9pid95JHt-MThAz9HmZ,,,silicon
167,EXPE,15.63B,117.97,4.18%,"3,334,824",Expedia,https://companieslogo.com/img/orig/EXPE.D-1d74d80e.png?t=1720244491,,,silicon
262,CART,8.50B,32.12,-0.59%,"3,255,054",Maplebear,https://companieslogo.com/img/orig/CART.D-bec06046.png?t=1720244491,,,silicon
99,BIDU,30.35B,86.54,5.52%,"3,246,902",Baidu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUZ95H2r9FBMnVjCiSllBI0sk-Cww3S0DcLp544TdfP4EfLjuB,,,silicon
89,CTSH,36.54B,73.73,0.77%,"3,230,869",Cognizant Technology Solutions ,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQcZWSwO9nosSp8A63RobzuUR003PP-Fc_guJiKUVyJlQsT9ljR,,,silicon
49,CDNS,73.57B,268.68,7.34%,"3,202,718",Cadence Design Systems,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlqRde5Guj48ZQCn00CIVwFYYiYlWdEDDXFQ&s,,,silicon
57,CEG,58.48B,187.03,4.10%,"3,174,987",Constellation Energy ,https://companieslogo.com/img/orig/CEG.D-15cf41cb.png?t=1720244491,,,silicon
348,BZ,6.07B,13.76,1.70%,"3,134,697",Kanzhun,https://www.marketbeat.com/logos/kanzhun-limited-logo.jpg?v=20240424093447,,,silicon
206,PAA,12.33B,17.59,1.85%,"3,111,910",Plains All American Pipeline,,,,silicon
179,ENPH,14.73B,108.8,5.20%,"3,059,665",Enphase Energy,,,,silicon
12,NFLX,270.52B,630.35,3.09%,"3,044,773",Netflix,,,,silicon
63,AEP,52.17B,98.04,-1.54%,"3,034,167",American Electric Power,,,,silicon
452,GBDC,3.81B,14.39,-0.14%,"3,025,715",Golub Capital BDC,,,,silicon
163,SWKS,16.42B,102.78,6.60%,"3,020,735",Skyworks Solutions,,,,silicon
359,NXT,5.76B,40.19,0.90%,"2,996,252",Nextracker,,,,silicon
164,ENTG,16.08B,106.49,8.56%,"2,962,631",Entegris,,,,silicon
185,CG,13.98B,39.23,2.64%,"2,904,245",Carlyle,,,,silicon
387,ALGM,5.02B,22.94,12.01%,"2,882,100",Allegro MicroSystems,,,,silicon
95,XEL,32.42B,58.15,-0.36%,"2,831,880",Xcel Energy,,,,silicon
81,NDAQ,39.19B,68.04,1.86%,"2,779,162",Nasdaq,,,,silicon
54,NXPI,62.47B,245.24,6.96%,"2,750,414",NXP Semiconductors,,,,silicon
115,FITB,26.81B,39.66,1.64%,"2,740,725",Fifth Third Bancorp,,,,silicon
24,AMGN,174.47B,324.69,3.90%,"2,704,112",Amgen,,,,silicon
357,CHX,5.87B,30.83,1.51%,"2,690,101",ChampionX ,,,,silicon
113,EBAY,27.35B,55.94,1.51%,"2,636,242",eBay,,,,silicon
147,FOXA,18.34B,39.3,0.18%,"2,619,090",Fox ,,,,silicon
388,DJT,5.00B,26.34,2.41%,"2,528,845",Trump Media & Technology ,,,,silicon
334,WSC,6.40B,33.97,1.43%,"2,520,505",WillScot  ,,,,silicon
76,ODFL,42.00B,196,1.48%,"2,508,027",Old Dominion Freight Line,,,,silicon
264,WYNN,8.43B,76.65,2.40%,"2,488,877","Wynn Resorts,",,,,silicon
336,GGAL,6.33B,32.77,14.30%,"2,480,890",Grupo Financiero Galicia,,,,silicon
211,INCY,11.90B,61.78,2.47%,"2,438,074",Incyte ,,,,silicon
193,NTRA,13.23B,107.7,7.31%,"2,437,593",Natera,,,,silicon
123,TTWO,24.33B,138.78,2.29%,"2,429,696",Take-Two Interactive Software,,,,silicon
198,ARCC,12.88B,20.43,0.64%,"2,427,777",Ares Capital ,,,,silicon
345,ETSY,6.22B,54.23,1.63%,"2,403,408",Etsy,,,,silicon
29,HON,129.82B,199.82,0.96%,"2,395,572",Honeywell International,,,,silicon
150,ZM,17.38B,56.21,0.88%,"2,308,292",Zoom Video Communications,,,,silicon
10,COST,372.15B,839.43,3.59%,"2,294,282",Costco Wholesale ,,,,silicon
307,FYBR,6.96B,27.94,1.86%,"2,282,131",Frontier Communications,,,,silicon
137,STX,20.06B,95.45,3.64%,"2,274,666",Seagate Technology  ,,,,silicon
112,TCOM,27.52B,42.26,3.12%,"2,247,336",Trip,,,,silicon
138,TER,20.05B,122.88,7.55%,"2,191,203",Teradyne,,,,silicon
67,PCAR,48.90B,93.28,1.79%,"2,183,223",PACCAR,,,,silicon
335,CCCS,6.36B,10.21,0.49%,"2,147,636",CCC Intelligent Solutions ,,,,silicon
404,RMBS,4.67B,43.38,7.62%,"2,143,526",Rambus,,,,silicon
37,PANW,102.76B,317.37,4.33%,"2,139,421",Palo Alto Networks,,,,silicon
15,ADBE,235.11B,530.24,3.24%,"2,115,416",Adobe,,,,silicon
221,ZG,11.04B,47.7,18.22%,"2,096,999",Zillow,,,,silicon
